well_id,corrected_mni_x,corrected_mni_y,corrected_mni_z
126439333,-13.467692624176099,2.25568636218492,3.4325230801347204
126432538,-53.603259238745785,-8.12005526025591,0.8686433263891079
126435762,-16.2887392340876,-34.1988564095319,-19.9446857419963
126439285,-17.8202118621542,3.59561259202597,-32.8728681252988
126435744,-23.7264555931642,-25.1389995249594,-16.6928414310571
126432216,-24.0484177093196,3.05060305909848,-40.9702563270965
126435075,-6.14779349060501,-67.7496984321135,-2.23492795837139
126431705,-25.075448899081398,21.400586026240607,49.52319496573529
126434371,-25.7684759489401,2.90930259813058,-43.9915184030484
126432638,-35.075670485010804,-8.561158412915232,-37.581542996944606
126435772,-13.9242054403275,-6.466032334432992,-26.2927792912995
126435776,-29.413881010338105,-61.5893095261032,-23.2171768109993
126432214,-8.97702624550893,12.999602947995601,12.6534921772545
126431655,-5.8732146785057315,32.0605936197449,-24.6404522150458
126432588,-40.654391835070896,-9.73747799915776,13.7830362200374
126435758,-2.22745631740626,-77.0527607300549,7.677399356013218
126435794,-16.2515157918177,-35.3445227124486,-18.968073655655697
126435716,-15.749416443603499,-79.3648247667842,-27.3335731710464
126435766,-4.11856652635852,-64.5651228308823,-4.60915628688482
126435842,-16.1214043154792,-86.44089894816808,-28.151620987091604
146021998,-5.39723283120022,-42.89822931629229,-49.813900986843606
146021902,-10.3194016494451,-36.044702804062,-50.7062542135425
146507639,-5.34967522652322,-48.7370853696889,-61.5188831237776
146507607,-2.39480776674586,-44.6691424449583,-62.4753582010139
146507591,1.57333351423637,-44.52089162774991,-62.4837916794983
146507575,-4.3781553967254,-40.802662654736096,-60.4489444288729
146507717,-1.42256492643647,-32.794114531179105,-59.383222473210296
146507605,-6.33990302048985,-38.9226350769248,-56.461282171909296
146507573,-6.3538210176255285,-34.9712634694332,-56.420649806525
146507557,-3.37423555760494,-35.847918258399794,-56.437133006734285
146507541,-2.38915923592723,-33.8351697503518,-56.4189251936633
146507699,-4.3488733814309,-40.8241954720664,-56.48581509384361
146507621,-0.387691099016516,-38.7002588511121,-56.4739323896358
146507635,-4.31263236756856,-42.8214140931425,-52.5430019415064
146507619,0.64754423365922,-42.6361005716319,-52.55354378961179
146507603,-5.31510618566588,-39.8949480918259,-52.5104192978471
146507587,-0.344491086586336,-42.673163275934,-52.5514354199907
146507667,-2.3285617270774503,-42.7472886845383,-52.5472186807485
146507571,-2.3602387258885096,-35.8270051670954,-53.4668943750834
146507651,-0.333874019986292,-47.60276067162721,-51.783712208971004
146507555,-3.33612104035741,-45.757087939451,-51.6983549309737
146507539,-3.37699204637729,-30.9194701577004,-54.4047778824894
146022014,-6.53687114504103,-23.3422114347923,-34.0369929438891
146022030,-8.410687725556981,-35.961021642087495,-32.8624261816528
146021996,-1.21959672916607,-39.0346951255457,-32.4458135453388
127687508,-24.2190527322079,0.402108265547856,-6.94279611172931
146022010,-7.50260471137221,-36.57326039872071,-38.3924675865842
146021992,-0.3754271082879029,-35.5175688680614,-38.3140753771331
146021948,0.611312579221724,-34.8943291104342,-46.8482296057866
146021900,-0.405766681100352,-30.877077634137105,-47.750044338680105
146022076,-1.39463650767908,-26.8765789913208,-49.564858086235
146021978,-5.54462453334566,-40.31853104087861,-41.2183778112726
146022060,-1.40004026466787,-36.2376356238711,-42.0812195173444
146022044,-1.43518923544624,-31.155994244422,-43.0515772704921
146021898,-5.5190457460251485,-39.3264736250735,-41.2044695503751
